frame,object_label,mean,var,entropy,centroid_r,centroid_d,peak_count,centroid_x,centroid_y,range_mean,range_std,velocity_mean,velocity_std,doa_mean,doa_std,rcs_mean,rcs_std,point_count,energy_retention,sparsity,entropy_diff
0,10,-92.33913966291956,91.03110956133976,6.2302995063071185,0.0,0.0,56.0,6.660623255649109,0.22679512672285196,6.669164515676062,0.3452678701124104,-14.484148758681554,0.9690455053619287,1.8947849628765943,2.1605986237061727,-80.95906374138445,6.369009877884749,153.0,0.0,0.2732142857142857,1.7880090983252153
0,3,-88.07477065001413,137.64218552522158,6.136381290509123,0.0,0.0,52.0,2.7034432248391176,-1.5250363172220305,3.1114946703124993,0.3421780309685116,-8.597775818395307,0.8033020122614016,-29.579569563815497,4.001727113642383,-74.92474364300378,10.083950703758136,125.0,0.0,0.24366471734892786,2.1092248965929645
0,12,-90.40255731222737,115.90536644999771,5.487087441652629,0.0,0.0,28.0,6.31445989377459,3.2508996445107208,7.108806902629574,0.5578242712834821,0.06292270536012337,0.2533314900930166,27.200401814503817,2.485395494285372,-76.83709693653549,7.267753320287942,41.0,0.0,0.14909090909090908,2.7447548756856763
0,29,-98.26661232655735,68.99537379235846,5.319764761396805,0.0,0.0,23.0,30.730613564654476,3.934619893499335,30.988986848958334,0.5879919329586168,0.09554929332463284,0.17107613320115758,7.278551669134197,1.2587152022228576,-81.50861862450813,4.907107346797917,27.0,0.0,0.12,3.303558266073596
0,30,-96.62550664268105,108.85009260705172,4.382184717005023,0.0,0.0,9.0,33.038985605544944,5.7233061457494045,33.53561837022569,0.26329593543521507,0.07907527723417829,0.13873430066157233,9.827351986610937,0.9449005110974171,-79.98948032397489,5.609982783166715,18.0,0.0,0.1978021978021978,2.4610936706818642
0,22,-91.62219940045573,138.31032750564427,4.842629371605765,0.0,0.0,15.0,11.284288238625997,-12.911616549227382,17.149505712890623,0.5610369534009242,0.11119960861056466,0.13888826663913675,-48.83696998143693,0.8219020985601633,-68.90327519848387,9.371245838001382,16.0,0.0,0.10884353741496598,3.288703912830679
0,15,-95.76077367928104,35.494673279889994,4.291781988272203,0.0,0.0,9.0,7.062395631074225,0.5642977968380029,7.085241796874999,0.07027847803299685,-20.44801945764607,0.3904641832428406,4.572451795614868,0.5593205669143158,-86.57275999497655,1.802354530280426,14.0,0.0,0.16666666666666666,2.5762788170750093
0,2,-79.85391846974497,209.82662940768878,4.748282534372981,0.0,0.0,14.0,1.9010059605873342,-1.6265242005717435,2.5021308443509613,0.19011015804294096,-7.876353816046969,0.3768031214332946,-40.532170997703446,0.8200676102302772,-71.60727110042303,8.908542801258875,13.0,0.0,0.09848484848484848,3.395376182046675
0,1,-92.31432390806438,67.72854693813916,4.54128703928561,0.0,0.0,11.0,1.328419688143879,0.5559872549601462,1.4403079915364587,0.34636205745343673,0.07413307240704192,0.13507688643645654,22.698165665656415,0.9874942241141499,-81.69071194069878,4.157891715793761,12.0,0.0,0.11428571428571428,3.4851315441636332
0,9,-87.58240120427422,228.24245196920498,3.5614501115879618,0.0,0.0,6.0,5.028998048658018,3.1937758414983324,5.958044238281251,0.12002335071844882,0.08895968688845102,0.14527056036964842,32.4094386342162,0.8129922830206515,-66.17326576869338,4.50001661655104,12.0,0.0,0.21428571428571427,2.0720441898639885
